2025-03-07 13:17:45,520 INFO    MainThread:24587 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2025-03-07 13:17:45,521 INFO    MainThread:24587 [wandb_setup.py:_flush():76] Configure stats pid to 24587
2025-03-07 13:17:45,521 INFO    MainThread:24587 [wandb_setup.py:_flush():76] Loading settings from /home/ginger/.config/wandb/settings
2025-03-07 13:17:45,521 INFO    MainThread:24587 [wandb_setup.py:_flush():76] Loading settings from /home/ginger/code/gderiddershanghai/DVA_Team_173/wandb/settings
2025-03-07 13:17:45,521 INFO    MainThread:24587 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2025-03-07 13:17:45,521 INFO    MainThread:24587 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2025-03-07 13:17:45,521 INFO    MainThread:24587 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'src/data_processing/sentiment_trainer.py', 'program': '/home/ginger/code/gderiddershanghai/DVA_Team_173/src/data_processing/sentiment_trainer.py'}
2025-03-07 13:17:45,521 INFO    MainThread:24587 [wandb_setup.py:_flush():76] Applying login settings: {'mode': 'offline'}
2025-03-07 13:17:45,521 INFO    MainThread:24587 [wandb_init.py:_log_setup():507] Logging user logs to /home/ginger/code/gderiddershanghai/DVA_Team_173/wandb/offline-run-20250307_131745-65kawj14/logs/debug.log
2025-03-07 13:17:45,521 INFO    MainThread:24587 [wandb_init.py:_log_setup():508] Logging internal logs to /home/ginger/code/gderiddershanghai/DVA_Team_173/wandb/offline-run-20250307_131745-65kawj14/logs/debug-internal.log
2025-03-07 13:17:45,521 INFO    MainThread:24587 [wandb_init.py:init():547] calling init triggers
2025-03-07 13:17:45,522 INFO    MainThread:24587 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2025-03-07 13:17:45,522 INFO    MainThread:24587 [wandb_init.py:init():596] starting backend
2025-03-07 13:17:45,522 INFO    MainThread:24587 [wandb_init.py:init():600] setting up manager
2025-03-07 13:17:45,526 INFO    MainThread:24587 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-07 13:17:45,530 INFO    MainThread:24587 [wandb_init.py:init():606] backend started and connected
2025-03-07 13:17:45,534 INFO    MainThread:24587 [wandb_init.py:init():703] updated telemetry
2025-03-07 13:17:45,540 INFO    MainThread:24587 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2025-03-07 13:17:45,546 INFO    MainThread:24587 [wandb_init.py:init():787] starting run threads in backend
2025-03-07 13:17:45,698 INFO    MainThread:24587 [wandb_run.py:_console_start():2155] atexit reg
2025-03-07 13:17:45,698 INFO    MainThread:24587 [wandb_run.py:_redirect():2010] redirect: SettingsConsole.WRAP_RAW
2025-03-07 13:17:45,698 INFO    MainThread:24587 [wandb_run.py:_redirect():2075] Wrapping output streams.
2025-03-07 13:17:45,698 INFO    MainThread:24587 [wandb_run.py:_redirect():2100] Redirects installed.
2025-03-07 13:17:45,699 INFO    MainThread:24587 [wandb_init.py:init():828] run started, returning control to user process
